Cer,[M+H2PO4]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2+amide]-,[R2+amide]-
Cer(d16:0/24:1),718.575506,620.59861,590.5881,390.3742,237.2221,364.3585
Cer(d16:0/25:0),734.606806,636.62991,606.6194,406.4055,237.2221,380.3898
Cer(d16:0/26:0),748.622406,650.64551,620.635,420.4211,237.2221,394.4054
Cer(d16:0/8:0),496.340706,398.36381,368.3533,168.1394,237.2221,142.1237
Cer(d16:1/10:0),522.356406,424.37951,394.369,196.1707,235.2065,170.155
Cer(d16:1/12:0),550.387706,452.41081,422.4003,224.202,235.2065,198.1863
Cer(d16:1/13:0),564.403406,466.42651,436.416,238.2177,235.2065,212.202
Cer(d16:1/14:0),578.419006,480.44211,450.4316,252.2333,235.2065,226.2176
Cer(d16:1/14:1),576.403406,478.42651,448.416,250.2177,235.2065,224.202
Cer(d16:1/15:0),592.434706,494.45781,464.4473,266.249,235.2065,240.2333
Cer(d16:1/15:1),590.419006,492.44211,462.4316,264.2333,235.2065,238.2176
Cer(d16:1/16:0),606.450306,508.47341,478.4629,280.2646,235.2065,254.2489
Cer(d16:1/16:1),604.434706,506.45781,476.4473,278.249,235.2065,252.2333
Cer(d16:1/17:0),620.466006,522.48911,492.4786,294.2803,235.2065,268.2646
Cer(d16:1/17:1),618.450306,520.47341,490.4629,292.2646,235.2065,266.2489
Cer(d16:1/17:2),616.434706,518.45781,488.4473,290.249,235.2065,264.2333
