PG,[M-H]-,[M-Glycerol]-,[M-T1RCH=C=O]-,[M-T2RCH=C=O]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[M-T1RCH=C=O-Glycerol]-,[M-T2RCH=C=O-Glycerol]-,[M-T1RCOOH-Glycerol]-,[M-T2RCOOH-Glycerol]-,[T1_RCOO]-,[T2_RCOO]-, [Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[Glycerophosphoglycerol]-,[Glycerophosphoglycerol-H2O]-,[Glycerophosphoglycerol-2H2O]-
PG(12:0_22:6),737.43996,663.40318,555.27289,427.21029,537.26233,409.19973,481.23611,353.17351,463.22555,335.16295,199.17035,327.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_23:0),763.54956,689.51278,581.38249,427.21029,563.37193,409.19973,507.34571,353.17351,489.33515,335.16295,199.17035,353.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_24:0),777.56516,703.52838,595.39809,427.21029,577.38753,409.19973,521.36131,353.17351,503.35075,335.16295,199.17035,367.35815,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_24:1),775.54956,701.51278,593.38249,427.21029,575.37193,409.19973,519.34571,353.17351,501.33515,335.16295,199.17035,365.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_25:0),791.58086,717.54408,609.41379,427.21029,591.40323,409.19973,535.37701,353.17351,517.36645,335.16295,199.17035,381.37385,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_26:0),805.59646,731.55968,623.42939,427.21029,605.41883,409.19973,549.39261,353.17351,531.38205,335.16295,199.17035,395.38945,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_13:0),637.40876,563.37198,441.22599,441.22599,423.21543,423.21543,367.18921,367.18921,349.17865,349.17865,213.18605,213.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_14:0),651.42436,577.38758,455.24159,441.22599,437.23103,423.21543,381.20481,367.18921,363.19425,349.17865,213.18605,227.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_14:1),649.40876,575.37198,453.22599,441.22599,435.21543,423.21543,379.18921,367.18921,361.17865,349.17865,213.18605,225.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_15:0),665.44006,591.40328,469.25729,441.22599,451.24673,423.21543,395.22051,367.18921,377.20995,349.17865,213.18605,241.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_15:1),663.42436,589.38758,467.24159,441.22599,449.23103,423.21543,393.20481,367.18921,375.19425,349.17865,213.18605,239.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_16:0),679.45566,605.41888,483.27289,441.22599,465.26233,423.21543,409.23611,367.18921,391.22555,349.17865,213.18605,255.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_16:1),677.44006,603.40328,481.25729,441.22599,463.24673,423.21543,407.22051,367.18921,389.20995,349.17865,213.18605,253.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_17:0),693.47136,619.43458,497.28859,441.22599,479.27803,423.21543,423.25181,367.18921,405.24125,349.17865,213.18605,269.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
