HexCer,[M+K]+,[M+H-H2O]+,[M+H-Hex]+,[M+H-Hex-H2O]+,[M+H-R1-H2O-Hex]+,[M+H-R1-2H2O-Hex]+
HexCer(d15:1/31:0),906.71648,850.75004,688.6971,670.6866,240.2322,222.2216
HexCer(d15:1/31:1),904.70078,848.73434,686.6815,668.6709,240.2322,222.2216
HexCer(d15:1/32:0),920.73208,864.76564,702.7128,684.7022,240.2322,222.2216
HexCer(d15:1/32:1),918.71648,862.75004,700.6971,682.6866,240.2322,222.2216
HexCer(d15:1/32:2),916.70078,860.73434,698.6815,680.6709,240.2322,222.2216
HexCer(d15:1/33:0),934.74778,878.78134,716.7285,698.7179,240.2322,222.2216
HexCer(d15:1/33:1),932.73208,876.76564,714.7128,696.7022,240.2322,222.2216
HexCer(d15:1/34:0),948.76338,892.79694,730.7441,712.7335,240.2322,222.2216
HexCer(d15:1/34:1),946.74778,890.78134,728.7285,710.7179,240.2322,222.2216
HexCer(d15:1/34:2),944.73208,888.76564,726.7128,708.7022,240.2322,222.2216
HexCer(d15:1/35:0),962.77898,906.81254,744.7598,726.7491,240.2322,222.2216
HexCer(d15:1/35:1),960.76338,904.79694,742.7441,724.7335,240.2322,222.2216
HexCer(d15:1/36:0),976.79468,920.82824,758.7754,740.7648,240.2322,222.2216
HexCer(d15:1/36:1),974.77898,918.81254,756.7598,738.7491,240.2322,222.2216
HexCer(d15:1/36:2),972.76338,916.79694,754.7441,736.7335,240.2322,222.2216
HexCer(d15:1/38:0),1004.82598,948.85954,786.8067,768.7961,240.2322,222.2216
HexCer(d15:1/38:1),1002.81028,946.84384,784.791,766.7805,240.2322,222.2216
HexCer(d15:1/38:2),1000.79468,944.82824,782.7754,764.7648,240.2322,222.2216
HexCer(d15:1/40:0),1032.85728,976.89084,814.838,796.8274,240.2322,222.2216
HexCer(d15:1/40:1),1030.84158,974.87514,812.8223,794.8118,240.2322,222.2216
HexCer(d15:1/40:2),1028.82598,972.85954,810.8067,792.7961,240.2322,222.2216
HexCer(d15:1/42:0),1060.88888,1004.92244,842.8693,824.8587,240.2322,222.2216
HexCer(d15:1/42:1),1058.87288,1002.90644,840.8536,822.8431,240.2322,222.2216
HexCer(d15:1/42:2),1056.85688,1000.89044,838.838,820.8274,240.2322,222.2216
HexCer(d15:2/12:0),638.40338,582.43694,420.3841,402.3736,238.2166,220.206
HexCer(d15:2/12:1),636.38778,580.42134,418.3685,400.3579,238.2166,220.206
HexCer(d15:2/13:0),652.41908,596.45264,434.3998,416.3892,238.2166,220.206
HexCer(d15:2/13:1),650.40338,594.43694,432.3841,414.3736,238.2166,220.206
HexCer(d15:2/14:0),666.43468,610.46824,448.4154,430.4049,238.2166,220.206
HexCer(d15:2/14:1),664.41908,608.45264,446.3998,428.3892,238.2166,220.206
HexCer(d15:2/15:0),680.45038,624.48394,462.4311,444.4205,238.2166,220.206
HexCer(d15:2/15:1),678.43468,622.46824,460.4154,442.4049,238.2166,220.206
HexCer(d15:2/16:0),694.46598,638.49954,476.4467,458.4362,238.2166,220.206
HexCer(d15:2/16:1),692.45038,636.48394,474.4311,456.4205,238.2166,220.206
HexCer(d15:2/16:2),690.43468,634.46824,472.4154,454.4049,238.2166,220.206
HexCer(d15:2/17:0),708.48168,652.51524,490.4624,472.4518,238.2166,220.206
HexCer(d15:2/18:0),722.49728,666.53084,504.478,486.4675,238.2166,220.206
HexCer(d15:2/18:1),720.48168,664.51524,502.4624,484.4518,238.2166,220.206
HexCer(d15:2/18:2),718.46598,662.49954,500.4467,482.4362,238.2166,220.206
HexCer(d15:2/19:0),736.51298,680.54654,518.4937,500.4831,238.2166,220.206
HexCer(d15:2/19:1),734.49728,678.53084,516.478,498.4675,238.2166,220.206
HexCer(d15:2/20:0),750.52868,694.56224,532.5093,514.4988,238.2166,220.206
HexCer(d15:2/20:1),748.51298,692.54654,530.4937,512.4831,238.2166,220.206
HexCer(d15:2/20:2),746.49728,690.53084,528.478,510.4675,238.2166,220.206
HexCer(d15:2/21:0),764.54428,708.57784,546.525,528.5144,238.2166,220.206
HexCer(d15:2/21:1),762.52868,706.56224,544.5093,526.4988,238.2166,220.206
HexCer(d15:2/22:0),778.55998,722.59354,560.5406,542.5301,238.2166,220.206
HexCer(d15:2/22:1),776.54428,720.57784,558.525,540.5144,238.2166,220.206
HexCer(d15:2/22:2),774.52868,718.56224,556.5093,538.4988,238.2166,220.206
HexCer(d15:2/23:0),792.57558,736.60914,574.5563,556.5457,238.2166,220.206
HexCer(d15:2/23:1),790.55998,734.59354,572.5406,554.5301,238.2166,220.206
HexCer(d15:2/24:0),806.59118,750.62474,588.572,570.5613,238.2166,220.206
HexCer(d15:2/24:1),804.57558,748.60914,586.5563,568.5457,238.2166,220.206
HexCer(d15:2/24:2),802.55998,746.59354,584.5406,566.5301,238.2166,220.206
HexCer(d15:2/25:0),820.60688,764.64044,602.5876,584.577,238.2166,220.206
