GM3,[M+H]+,[M-H2O+H]+,[M-C11H17NO8+H]+,[M-C11H15NO7+H]+,[M-C17H27NO13+H]+,[M-C17H25NO12+H]+,[M-C23H37NO18+H]+,[M-C23H35NO17+H]+,[C11H17NO8+H]+,[Sph+H]+,[Sph-H2O+H]+
GM3(d29:0/26:2),1446.033,1428.023,1154.938,1136.927,992.885,974.8745,830.8322,812.8217,292.1027,438.4669,420.4564
GM3(d29:1/26:1),1446.033,1428.023,1154.938,1136.927,992.885,974.8745,830.8322,812.8217,292.1027,436.4513,418.4407
GM3(d30:1/25:1),1446.033,1428.023,1154.938,1136.927,992.885,974.8745,830.8322,812.8217,292.1027,450.4669,432.4564
GM3(d15:1/40:2),1444.017,1426.007,1152.922,1134.911,990.869,972.8585,828.8162,810.8057,292.1027,240.2322,222.2216
GM3(d17:1/38:2),1444.017,1426.007,1152.922,1134.911,990.869,972.8585,828.8162,810.8057,292.1027,268.2635,250.2529
GM3(d19:1/36:2),1444.017,1426.007,1152.922,1134.911,990.869,972.8585,828.8162,810.8057,292.1027,296.2948,278.2842
GM3(d21:1/34:2),1444.017,1426.007,1152.922,1134.911,990.869,972.8585,828.8162,810.8057,292.1027,324.3261,306.3155
GM3(d23:1/32:2),1444.017,1426.007,1152.922,1134.911,990.869,972.8585,828.8162,810.8057,292.1027,352.3574,334.3468
GM3(d25:1/30:2),1444.017,1426.007,1152.922,1134.911,990.869,972.8585,828.8162,810.8057,292.1027,380.3887,362.3781
GM3(d27:1/28:2),1444.017,1426.007,1152.922,1134.911,990.869,972.8585,828.8162,810.8057,292.1027,408.42,390.4094
GM3(d29:1/26:2),1444.017,1426.007,1152.922,1134.911,990.869,972.8585,828.8162,810.8057,292.1027,436.4513,418.4407
GM3(d14:0/42:0),1464.08,1446.07,1172.985,1154.974,1010.932,992.9214,848.8792,830.8687,292.1027,228.2322,210.2216
GM3(d16:0/40:0),1464.08,1446.07,1172.985,1154.974,1010.932,992.9214,848.8792,830.8687,292.1027,256.2635,238.2529
GM3(d18:0/38:0),1464.08,1446.07,1172.985,1154.974,1010.932,992.9214,848.8792,830.8687,292.1027,284.2948,266.2842
GM3(d20:0/36:0),1464.08,1446.07,1172.985,1154.974,1010.932,992.9214,848.8792,830.8687,292.1027,312.3261,294.3155
GM3(d21:0/35:0),1464.08,1446.07,1172.985,1154.974,1010.932,992.9214,848.8792,830.8687,292.1027,326.3417,308.3312
GM3(d22:0/34:0),1464.08,1446.07,1172.985,1154.974,1010.932,992.9214,848.8792,830.8687,292.1027,340.3574,322.3468
GM3(d23:0/33:0),1464.08,1446.07,1172.985,1154.974,1010.932,992.9214,848.8792,830.8687,292.1027,354.373,336.3625
GM3(d24:0/32:0),1464.08,1446.07,1172.985,1154.974,1010.932,992.9214,848.8792,830.8687,292.1027,368.3887,350.3781
GM3(d25:0/31:0),1464.08,1446.07,1172.985,1154.974,1010.932,992.9214,848.8792,830.8687,292.1027,382.4044,364.3938
GM3(d26:0/30:0),1464.08,1446.07,1172.985,1154.974,1010.932,992.9214,848.8792,830.8687,292.1027,396.42,378.4094
GM3(d27:0/29:0),1464.08,1446.07,1172.985,1154.974,1010.932,992.9214,848.8792,830.8687,292.1027,410.4356,392.4251
GM3(d28:0/28:0),1464.08,1446.07,1172.985,1154.974,1010.932,992.9214,848.8792,830.8687,292.1027,424.4513,406.4407
GM3(d29:0/27:0),1464.08,1446.07,1172.985,1154.974,1010.932,992.9214,848.8792,830.8687,292.1027,438.4669,420.4564
GM3(d30:0/26:0),1464.08,1446.07,1172.985,1154.974,1010.932,992.9214,848.8792,830.8687,292.1027,452.4826,434.472
GM3(d14:0/42:1),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,228.2322,210.2216
GM3(d14:1/42:0),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,226.2166,208.206
GM3(d16:0/40:1),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,256.2635,238.2529
GM3(d16:1/40:0),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,254.2478,236.2373
GM3(d18:0/38:1),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,284.2948,266.2842
GM3(d18:1/38:0),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,282.2791,264.2686
GM3(d20:0/36:1),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,312.3261,294.3155
GM3(d20:1/36:0),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,310.3105,292.2999
GM3(d21:0/35:1),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,326.3417,308.3312
GM3(d21:1/35:0),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,324.3261,306.3155
GM3(d22:0/34:1),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,340.3574,322.3468
GM3(d22:1/34:0),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,338.3417,320.3312
GM3(d23:0/33:1),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,354.373,336.3625
GM3(d23:1/33:0),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,352.3574,334.3468
GM3(d24:0/32:1),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,368.3887,350.3781
GM3(d24:1/32:0),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,366.373,348.3625
GM3(d25:0/31:1),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,382.4044,364.3938
GM3(d25:1/31:0),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,380.3887,362.3781
GM3(d26:0/30:1),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,396.42,378.4094
GM3(d26:1/30:0),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,394.4044,376.3938
GM3(d27:0/29:1),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,410.4356,392.4251
GM3(d27:1/29:0),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,408.42,390.4094
GM3(d28:0/28:1),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,424.4513,406.4407
GM3(d28:1/28:0),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,422.4356,404.4251
GM3(d29:0/27:1),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,438.4669,420.4564
GM3(d29:1/27:0),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,436.4513,418.4407
GM3(d30:0/26:1),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,452.4826,434.472
GM3(d30:1/26:0),1462.064,1444.054,1170.969,1152.958,1008.916,990.9055,846.8632,828.8527,292.1027,450.4669,432.4564
GM3(d14:0/42:2),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,228.2322,210.2216
GM3(d14:1/42:1),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,226.2166,208.206
GM3(d16:0/40:2),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,256.2635,238.2529
GM3(d16:1/40:1),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,254.2478,236.2373
GM3(d18:0/38:2),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,284.2948,266.2842
GM3(d18:1/38:1),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,282.2791,264.2686
GM3(d20:0/36:2),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,312.3261,294.3155
GM3(d20:1/36:1),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,310.3105,292.2999
GM3(d21:1/35:1),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,324.3261,306.3155
GM3(d22:0/34:2),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,340.3574,322.3468
GM3(d22:1/34:1),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,338.3417,320.3312
GM3(d23:1/33:1),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,352.3574,334.3468
GM3(d24:0/32:2),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,368.3887,350.3781
GM3(d24:1/32:1),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,366.373,348.3625
GM3(d25:1/31:1),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,380.3887,362.3781
GM3(d26:0/30:2),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,396.42,378.4094
GM3(d26:1/30:1),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,394.4044,376.3938
GM3(d27:1/29:1),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,408.42,390.4094
GM3(d28:0/28:2),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,424.4513,406.4407
GM3(d28:1/28:1),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,422.4356,404.4251
GM3(d29:1/27:1),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,436.4513,418.4407
GM3(d30:0/26:2),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,452.4826,434.472
GM3(d30:1/26:1),1460.049,1442.039,1168.954,1150.943,1006.901,988.8904,844.8482,826.8376,292.1027,450.4669,432.4564
GM3(d14:1/42:2),1458.033,1440.023,1166.938,1148.927,1004.885,986.8745,842.8322,824.8217,292.1027,226.2166,208.206
GM3(d16:1/40:2),1458.033,1440.023,1166.938,1148.927,1004.885,986.8745,842.8322,824.8217,292.1027,254.2478,236.2373
GM3(d18:1/38:2),1458.033,1440.023,1166.938,1148.927,1004.885,986.8745,842.8322,824.8217,292.1027,282.2791,264.2686
GM3(d20:1/36:2),1458.033,1440.023,1166.938,1148.927,1004.885,986.8745,842.8322,824.8217,292.1027,310.3105,292.2999
GM3(d22:1/34:2),1458.033,1440.023,1166.938,1148.927,1004.885,986.8745,842.8322,824.8217,292.1027,338.3417,320.3312
GM3(d24:1/32:2),1458.033,1440.023,1166.938,1148.927,1004.885,986.8745,842.8322,824.8217,292.1027,366.373,348.3625
GM3(d26:1/30:2),1458.033,1440.023,1166.938,1148.927,1004.885,986.8745,842.8322,824.8217,292.1027,394.4044,376.3938
GM3(d28:1/28:2),1458.033,1440.023,1166.938,1148.927,1004.885,986.8745,842.8322,824.8217,292.1027,422.4356,404.4251
GM3(d30:1/26:2),1458.033,1440.023,1166.938,1148.927,1004.885,986.8745,842.8322,824.8217,292.1027,450.4669,432.4564
GM3(d15:0/42:0),1478.096,1460.086,1187.001,1168.99,1024.948,1006.938,862.8952,844.8846,292.1027,242.2478,224.2373
GM3(d17:0/40:0),1478.096,1460.086,1187.001,1168.99,1024.948,1006.938,862.8952,844.8846,292.1027,270.2791,252.2686
GM3(d19:0/38:0),1478.096,1460.086,1187.001,1168.99,1024.948,1006.938,862.8952,844.8846,292.1027,298.3105,280.2999
GM3(d21:0/36:0),1478.096,1460.086,1187.001,1168.99,1024.948,1006.938,862.8952,844.8846,292.1027,326.3417,308.3312
GM3(d22:0/35:0),1478.096,1460.086,1187.001,1168.99,1024.948,1006.938,862.8952,844.8846,292.1027,340.3574,322.3468
GM3(d23:0/34:0),1478.096,1460.086,1187.001,1168.99,1024.948,1006.938,862.8952,844.8846,292.1027,354.373,336.3625
GM3(d24:0/33:0),1478.096,1460.086,1187.001,1168.99,1024.948,1006.938,862.8952,844.8846,292.1027,368.3887,350.3781
GM3(d25:0/32:0),1478.096,1460.086,1187.001,1168.99,1024.948,1006.938,862.8952,844.8846,292.1027,382.4044,364.3938
GM3(d26:0/31:0),1478.096,1460.086,1187.001,1168.99,1024.948,1006.938,862.8952,844.8846,292.1027,396.42,378.4094
GM3(d27:0/30:0),1478.096,1460.086,1187.001,1168.99,1024.948,1006.938,862.8952,844.8846,292.1027,410.4356,392.4251
GM3(d28:0/29:0),1478.096,1460.086,1187.001,1168.99,1024.948,1006.938,862.8952,844.8846,292.1027,424.4513,406.4407
GM3(d29:0/28:0),1478.096,1460.086,1187.001,1168.99,1024.948,1006.938,862.8952,844.8846,292.1027,438.4669,420.4564
GM3(d30:0/27:0),1478.096,1460.086,1187.001,1168.99,1024.948,1006.938,862.8952,844.8846,292.1027,452.4826,434.472
GM3(d15:0/42:1),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,242.2478,224.2373
GM3(d15:1/42:0),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,240.2322,222.2216
GM3(d17:0/40:1),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,270.2791,252.2686
GM3(d17:1/40:0),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,268.2635,250.2529
GM3(d19:0/38:1),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,298.3105,280.2999
GM3(d19:1/38:0),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,296.2948,278.2842
GM3(d21:0/36:1),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,326.3417,308.3312
GM3(d21:1/36:0),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,324.3261,306.3155
GM3(d22:0/35:1),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,340.3574,322.3468
GM3(d22:1/35:0),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,338.3417,320.3312
GM3(d23:0/34:1),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,354.373,336.3625
GM3(d23:1/34:0),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,352.3574,334.3468
GM3(d24:0/33:1),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,368.3887,350.3781
GM3(d24:1/33:0),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,366.373,348.3625
GM3(d25:0/32:1),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,382.4044,364.3938
GM3(d25:1/32:0),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,380.3887,362.3781
GM3(d26:0/31:1),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,396.42,378.4094
GM3(d26:1/31:0),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,394.4044,376.3938
GM3(d27:0/30:1),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,410.4356,392.4251
GM3(d27:1/30:0),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,408.42,390.4094
GM3(d28:0/29:1),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,424.4513,406.4407
GM3(d28:1/29:0),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,422.4356,404.4251
GM3(d29:0/28:1),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,438.4669,420.4564
GM3(d29:1/28:0),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,436.4513,418.4407
GM3(d30:0/27:1),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,452.4826,434.472
GM3(d30:1/27:0),1476.08,1458.07,1184.985,1166.974,1022.932,1004.921,860.8792,842.8687,292.1027,450.4669,432.4564
GM3(d15:0/42:2),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,242.2478,224.2373
GM3(d15:1/42:1),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,240.2322,222.2216
GM3(d17:0/40:2),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,270.2791,252.2686
GM3(d17:1/40:1),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,268.2635,250.2529
GM3(d19:0/38:2),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,298.3105,280.2999
GM3(d19:1/38:1),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,296.2948,278.2842
GM3(d21:0/36:2),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,326.3417,308.3312
GM3(d21:1/36:1),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,324.3261,306.3155
GM3(d22:1/35:1),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,338.3417,320.3312
GM3(d23:0/34:2),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,354.373,336.3625
GM3(d23:1/34:1),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,352.3574,334.3468
GM3(d24:1/33:1),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,366.373,348.3625
GM3(d25:0/32:2),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,382.4044,364.3938
GM3(d25:1/32:1),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,380.3887,362.3781
GM3(d26:1/31:1),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,394.4044,376.3938
GM3(d27:0/30:2),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,410.4356,392.4251
GM3(d27:1/30:1),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,408.42,390.4094
GM3(d28:1/29:1),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,422.4356,404.4251
GM3(d29:0/28:2),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,438.4669,420.4564
GM3(d29:1/28:1),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,436.4513,418.4407
GM3(d30:1/27:1),1474.064,1456.054,1182.969,1164.958,1020.916,1002.905,858.8632,840.8527,292.1027,450.4669,432.4564
GM3(d15:1/42:2),1472.049,1454.039,1180.954,1162.943,1018.901,1000.89,856.8482,838.8376,292.1027,240.2322,222.2216
GM3(d17:1/40:2),1472.049,1454.039,1180.954,1162.943,1018.901,1000.89,856.8482,838.8376,292.1027,268.2635,250.2529
GM3(d19:1/38:2),1472.049,1454.039,1180.954,1162.943,1018.901,1000.89,856.8482,838.8376,292.1027,296.2948,278.2842
GM3(d21:1/36:2),1472.049,1454.039,1180.954,1162.943,1018.901,1000.89,856.8482,838.8376,292.1027,324.3261,306.3155
GM3(d23:1/34:2),1472.049,1454.039,1180.954,1162.943,1018.901,1000.89,856.8482,838.8376,292.1027,352.3574,334.3468
GM3(d25:1/32:2),1472.049,1454.039,1180.954,1162.943,1018.901,1000.89,856.8482,838.8376,292.1027,380.3887,362.3781
GM3(d27:1/30:2),1472.049,1454.039,1180.954,1162.943,1018.901,1000.89,856.8482,838.8376,292.1027,408.42,390.4094
GM3(d29:1/28:2),1472.049,1454.039,1180.954,1162.943,1018.901,1000.89,856.8482,838.8376,292.1027,436.4513,418.4407
GM3(d16:0/42:0),1492.111,1474.101,1201.016,1183.005,1038.963,1020.952,876.9102,858.8997,292.1027,256.2635,238.2529
GM3(d18:0/40:0),1492.111,1474.101,1201.016,1183.005,1038.963,1020.952,876.9102,858.8997,292.1027,284.2948,266.2842
GM3(d20:0/38:0),1492.111,1474.101,1201.016,1183.005,1038.963,1020.952,876.9102,858.8997,292.1027,312.3261,294.3155
GM3(d22:0/36:0),1492.111,1474.101,1201.016,1183.005,1038.963,1020.952,876.9102,858.8997,292.1027,340.3574,322.3468
GM3(d23:0/35:0),1492.111,1474.101,1201.016,1183.005,1038.963,1020.952,876.9102,858.8997,292.1027,354.373,336.3625
GM3(d24:0/34:0),1492.111,1474.101,1201.016,1183.005,1038.963,1020.952,876.9102,858.8997,292.1027,368.3887,350.3781
GM3(d25:0/33:0),1492.111,1474.101,1201.016,1183.005,1038.963,1020.952,876.9102,858.8997,292.1027,382.4044,364.3938
GM3(d26:0/32:0),1492.111,1474.101,1201.016,1183.005,1038.963,1020.952,876.9102,858.8997,292.1027,396.42,378.4094
GM3(d27:0/31:0),1492.111,1474.101,1201.016,1183.005,1038.963,1020.952,876.9102,858.8997,292.1027,410.4356,392.4251
GM3(d28:0/30:0),1492.111,1474.101,1201.016,1183.005,1038.963,1020.952,876.9102,858.8997,292.1027,424.4513,406.4407
GM3(d29:0/29:0),1492.111,1474.101,1201.016,1183.005,1038.963,1020.952,876.9102,858.8997,292.1027,438.4669,420.4564
GM3(d30:0/28:0),1492.111,1474.101,1201.016,1183.005,1038.963,1020.952,876.9102,858.8997,292.1027,452.4826,434.472
GM3(d16:0/42:1),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,256.2635,238.2529
GM3(d16:1/42:0),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,254.2478,236.2373
GM3(d18:0/40:1),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,284.2948,266.2842
GM3(d18:1/40:0),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,282.2791,264.2686
GM3(d20:0/38:1),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,312.3261,294.3155
GM3(d20:1/38:0),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,310.3105,292.2999
GM3(d22:0/36:1),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,340.3574,322.3468
GM3(d22:1/36:0),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,338.3417,320.3312
GM3(d23:0/35:1),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,354.373,336.3625
GM3(d23:1/35:0),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,352.3574,334.3468
GM3(d24:0/34:1),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,368.3887,350.3781
GM3(d24:1/34:0),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,366.373,348.3625
GM3(d25:0/33:1),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,382.4044,364.3938
GM3(d25:1/33:0),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,380.3887,362.3781
GM3(d26:0/32:1),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,396.42,378.4094
GM3(d26:1/32:0),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,394.4044,376.3938
GM3(d27:0/31:1),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,410.4356,392.4251
GM3(d27:1/31:0),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,408.42,390.4094
GM3(d28:0/30:1),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,424.4513,406.4407
GM3(d28:1/30:0),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,422.4356,404.4251
GM3(d29:0/29:1),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,438.4669,420.4564
GM3(d29:1/29:0),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,436.4513,418.4407
GM3(d30:0/28:1),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,452.4826,434.472
GM3(d30:1/28:0),1490.096,1472.086,1199.001,1180.99,1036.948,1018.938,874.8952,856.8846,292.1027,450.4669,432.4564
GM3(d16:0/42:2),1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027,256.2635,238.2529
GM3(d16:1/42:1),1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027,254.2478,236.2373
GM3(d18:0/40:2),1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027,284.2948,266.2842
GM3(d18:1/40:1),1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027,282.2791,264.2686
GM3(d20:0/38:2),1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027,312.3261,294.3155
GM3(d20:1/38:1),1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027,310.3105,292.2999
GM3(d22:0/36:2),1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027,340.3574,322.3468
GM3(d22:1/36:1),1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027,338.3417,320.3312
GM3(d23:1/35:1),1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027,352.3574,334.3468
GM3(d24:0/34:2),1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027,368.3887,350.3781
GM3(d24:1/34:1),1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027,366.373,348.3625
GM3(d25:1/33:1),1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027,380.3887,362.3781
GM3(d26:0/32:2),1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027,396.42,378.4094
GM3(d26:1/32:1),1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027,394.4044,376.3938
GM3(d27:1/31:1),1488.08,1470.07,1196.985,1178.974,1034.932,1016.921,872.8792,854.8687,292.1027,408.42,390.4094
